linkNumber,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
89,Yummy foods,5/5 Stars,12:30 PM, 11:45 pm,"Ground floor#1, Block C-10, PHA flats, street 97,G-11/3, 44000 Islamabad",33.6729955,72.9980421,https://images.deliveryhero.io/image/fd-pk/LH/y4kc-hero.jpg,Islamabad
91,Italian Pizza-F11,3.9/5 Stars,12:45 PM, 11:59 pm,"Location F-11 Markaz, near Optp Select, Center Plaza, 44000 Islamabad",33.6847016,72.9864538,https://images.deliveryhero.io/image/fd-pk/LH/r6qv-hero.jpg,Islamabad
93,The Coffee Bean & Tea Leaf - DHA PHASE 5,4.3/5 Stars,9:00 AM, 11:59 pm,"20 A, Pakistan Chowk, Commercial Area, DHA Phase 5, Lahore, 54810 Lahore",31.461479,74.423539,https://images.deliveryhero.io/image/fd-pk/LH/t2zh-hero.jpg,Islamabad
94,Italian Pizza G13,4.3/5 Stars,12:00 PM, 11:59 pm,"G13/1 street no. 108 Qadri arcade plaza shop no. 3, 44000 Islamabad",33.64543,72.96414,https://images.deliveryhero.io/image/fd-pk/LH/n4bk-hero.jpg,Islamabad
95,Toast'D Cafe & Bakery- F-11,4.3/5 Stars,10:00 AM, 11:59 pm,"Capital Filling Station,Hilal Road, F-11 Markaz, Islamabad, 44000 Islamabad",33.682782,72.990587,https://images.deliveryhero.io/image/fd-pk/LH/k5bw-hero.jpg,Islamabad
96,Jeekas Wok And Grill,4.2/5 Stars,3:00 PM, 3:14 pm,"Mj's Plaza  Tariq Market, F-10/2 Islamabad, 44000 Islamabad",33.69070873,72.9999202,https://images.deliveryhero.io/image/fd-pk/LH/h9uo-hero.jpg,Islamabad
97,Pizza Factor 21,3.8/5 Stars,1:00 PM, 11:59 pm,"Shop 2, Ghaffer Plaza, E-11/2, Markaz, 44000 Islamabad",33.70008456,72.97285442,https://images.deliveryhero.io/image/fd-pk/LH/f8a4-hero.jpg,Islamabad
98,Food fresh the best G-11,4.1/5 Stars,11:30 AM, 11:59 pm,"2 Street 72, G-11/2 G 11/2 G-11, near Reshama Masjid Islamabad, Islamabad Capital Territory 44000, 44000 Islamabad",33.6704698,72.9909444,https://images.deliveryhero.io/image/fd-pk/LH/hfnm-hero.jpg,Islamabad
99,Midnight Kitchen,4.3/5 Stars,9:00 PM, 9:15 pm,"House#136 street#8 E-11/1 mpchs islamabad, 44000 Islamabad",33.6941807,72.9702511,https://images.deliveryhero.io/image/fd-pk/LH/moxr-hero.jpg,Islamabad
100,Fri'soO,4.1/5 Stars,12:00 PM, 11:59 pm,"RAS ARCADE, STREET NUM 124, G-13/4 ISLAMABAD, 44000 Islamabad",33.6475845,72.9670507,https://images.deliveryhero.io/image/fd-pk/LH/taaf-hero.jpg,Islamabad
101,Sarang Sindhi Cuisine,4.2/5 Stars,12:00 PM, 11:59 pm,"Basement Fazal Arcade, Near Shaheen Chemist, F 11, Markaz, Islamabad, 75400 Islamabad",33.6834259,72.98873901,https://images.deliveryhero.io/image/fd-pk/LH/s8fi-hero.jpg,Islamabad
102,Bannu Gull Restaurant,4.2/5 Stars,9:00 AM, 11:45 pm,"shop number 5,Al anayat palaza,G-11 markaz islamabad., 44000 Islamabad",33.668013,72.997302,https://images.deliveryhero.io/image/fd-pk/LH/t7oh-hero.jpg,Islamabad
103,Arabian's Chef Restaurant,4.1/5 Stars,1:00 PM, 11:59 pm,"Service Road, E-11/4, near Marquees, Islamabad, 44000 Islamabad",33.6956122,72.9892005,https://images.deliveryhero.io/image/fd-pk/LH/j2od-hero.jpg,Islamabad
104,Buland Place,3.9/5 Stars,11:30 AM, 11:59 pm,"Shop no. 3, Ground Floor, Black Lounge Plaza,MPCHS, E-11/3 Markaz, 44000 Islamabad",33.7038423,72.9793896,https://images.deliveryhero.io/image/fd-pk/LH/j4o8-hero.jpg,Islamabad
105,Dil Se Desi,4.2/5 Stars,12:00 PM, 11:45 pm,"Riwayat restaurant Al hameed shopping mall Near D Watson G-11 markaz islamabad, 44000 Islamabad",33.669923,72.999492,https://images.deliveryhero.io/image/fd-pk/LH/w7xp-hero.jpg,Islamabad
108,Mom's Kitchen,4.5/5 Stars,10:00 AM, 3:00 pm,"Alharam apartments, Flate D2, 4th Floor , Street 26-A, E11/4, 44000 Islamabad",33.6972112,72.97983506,https://images.deliveryhero.io/image/fd-pk/LH/n1sb-hero.jpg,Islamabad
110,Farzana's Kitchen,4.1/5 Stars,10:00 AM, 10:00 pm,"E - 114,Street 15, Zahid market, Next to Abdul wahod karyana store., 44000 Islamabad",33.6968923,72.97917725,https://images.deliveryhero.io/image/fd-pk/LH/zu0m-hero.jpg,Islamabad
111,Wassi Kitchen,4.2/5 Stars,10:00 AM, 10:00 pm,"E-11/4, street#15, Zahid market, Near Mosque loharawali , Islamabad, 44000 Islamabad",33.6968938,72.97910485,https://images.deliveryhero.io/image/fd-pk/LH/kuin-hero.jpg,Islamabad
113,Bon AppÃ©tit,4.7/5 Stars,1:00 PM, 7:45 pm,"house # 343 street 166 g11/1 NEAR Masjid Abu Sufyan, Islamabad, 44000 Islamabad",33.6655402,72.9987589,https://images.deliveryhero.io/image/fd-pk/LH/x8nh-hero.jpg,Islamabad
114,K's Cremerie,4.4/5 Stars,12:00 PM, 11:59 pm,"Shop no. 7, Plot 27, near Nocciola, Liberty Square, F-11 Markaz Islamabad, 44000 Islamabad",33.684155,72.986322,https://images.deliveryhero.io/image/fd-pk/LH/v8zz-hero.jpg,Islamabad
115,Biryani Adda,4.1/5 Stars,12:00 PM, 11:59 pm,"Shop # 3 St # 14 Tariq Market F10/2 Islamabad, 44000 Islamabad",33.6909488,72.9978603,https://images.deliveryhero.io/image/fd-pk/LH/w0by-hero.jpg,Islamabad
116,Margalla Desi Aroma,4.4/5 Stars,10:30 AM, 11:59 pm,"Shop no 9 2nd floor capital  compound golrha islamabad ., 44000 Islamabad",33.691446,72.9789628,https://images.deliveryhero.io/image/fd-pk/LH/xoh1-hero.jpg,Islamabad
118,American Express Pizza,4.1/5 Stars,12:00 PM, 11:59 pm,"California EXPRESS PIZZA, NEAR Soneri BANK LIBERTY MARKET F-11, 44000 Islamabad",33.6842805,72.9864325,https://images.deliveryhero.io/image/fd-pk/LH/b8lh-hero.jpg,Islamabad
119,Lahori Chaska Ziaqa Restaurant & Biryani Center,4/5 Stars,10:00 AM, 11:59 pm,"Shop no, 1-2, Plaza no. 15, near Tooba Masjid,, E-11/3 Markaz, 44000 Islamabad",33.704087,72.979287,https://images.deliveryhero.io/image/fd-pk/LH/p6sb-hero.jpg,Islamabad
120,Smokin Joeâ€™s Pizza - E 11,3.9/5 Stars,12:00 PM, 11:59 pm,"Madina arcade ground floor e-11 3 markaz near MCB Islamabad, 75500 Islamabad",33.703597,72.97885,https://images.deliveryhero.io/image/fd-pk/LH/s7tb-hero.jpg,Islamabad
122,Qasim Burger Point,4.4/5 Stars,11:00 AM, 11:59 pm,"Shahnawaz plaza near ameen pharmacy g11 markaz, 44000 Islamabad",33.66917277,72.9971743,https://images.deliveryhero.io/image/fd-pk/LH/n2ub-hero.jpg,Islamabad
123,Boom Boom Hot N Spicy E-11,4.1/5 Stars,12:00 PM, 11:59 pm,"Basment Royal Plaza, Main Double Road, E-11/2, 44000 Islamabad",33.699043,72.973637,https://images.deliveryhero.io/image/fd-pk/LH/u2qr-hero.jpg,Islamabad
125,The Yemeni Shawarma,3.9/5 Stars,4:00 PM, 11:59 pm,"House no. 138A, Street 37, F10/1, Islamabad, 44000 Islamabad",33.687556,73.001833,https://images.deliveryhero.io/image/fd-pk/LH/v7ez-hero.jpg,Islamabad
